cg,delta_t_cg,scheme,c2,gamma,nu,D,max_Re_eig
1,0.002,forward,4.140773559299868,0.19917437712420047,0.04202332768676376,20.789690014784274,0.15987590161214965
1,0.002,backward,4.264863034848779,0.04170998940486123,-0.03687671082137191,102.25039842258306,0.20740502226260552
1,0.002,central,4.192322300811232,0.14085363741322998,-0.00849843740231536,29.7636779411808,0.18501134545536346
1,0.002,logK,4.137346060132266,0.18233773526959965,0.035389092267574654,22.690564045971605,0.15985034675423135
3,0.006,forward,4.170690840381321,0.20893711871874954,0.028279669975840777,19.961464319776958,0.11650891339559893
3,0.006,backward,4.401051538474775,-0.22344907661542954,-0.16599150454893635,-19.695993400989845,0.2512582586166773
3,0.006,central,4.1917701222367025,0.14066131269870016,-0.008142426197316852,29.800447911470673,0.1849174351226511
3,0.006,logK,4.0744745992250575,-0.10094887024790897,-0.05716532010800693,-40.36176521063598,0.11647015012170851
5,0.01,forward,4.287854286288501,0.35192275868440737,0.2389443165565025,12.184077842302054,0.09069186524384262
5,0.01,backward,4.0404812771505485,-0.1150456000026796,0.03763072683727478,-35.12069368195254,0.3108907644683876
5,0.01,central,4.190664761858725,0.14027506836964043,-0.007583948648204365,29.87462284328286,0.18472968645482646
5,0.01,logK,4.299920163779706,0.24840666984013426,0.1799742626678659,17.310002853574677,0.09065768252295206
11,0.022,forward,4.097007634715872,0.3888427563197493,0.3391140404654511,10.536412388114186,0.04914693992689706
11,0.022,backward,3.9151567556189626,-0.6116466927702766,-0.1070313167470956,-6.401010259511735,0.5270236326326823
11,0.022,central,4.1840039885528455,0.137917125501007,-0.008893952930595167,30.337088112544055,0.18360526980188474
11,0.022,logK,4.100759152378598,0.20906955821322715,0.2421118709812509,19.61432925685092,0.06202772242668317
21,0.042,forward,3.989354185275925,0.7373150687854042,0.3592067927387217,5.410650553836745,0.020507867976530706
21,0.042,backward,3.883107600347924,-0.933150387636233,-0.19204398447387355,-4.161288096535264,0.9465880486303981
21,0.042,central,4.161428487807646,0.12973451139369704,-0.013635844901300223,32.07649563021226,0.1798858226126081
21,0.042,logK,4.069595549924163,0.38770128245353325,0.18245584287883843,10.49672965786981,0.044241527601912745
31,0.062,forward,3.908886754100078,0.9854239368434679,0.45244491351925664,3.9667057070088148,-2.056092222799815e-15
31,0.062,backward,3.8760915694185862,-1.1083976755008713,-0.3055505542140986,-3.497022463230111,1.3627823044599434
31,0.062,central,4.123452182499879,0.11970367487270916,-0.02241951110199905,34.44716452426951,0.17396116209102874
31,0.062,logK,4.048571126588093,0.4788127653229817,0.2238502202009997,8.455436905190156,0.026314116690731193
41,0.082,forward,3.798617202157885,1.2275214535743724,0.5454560324858662,3.09454241398131,-2.327005078713338e-15
41,0.082,backward,3.7932335589563353,-1.293446446749121,-0.403368106895428,-2.9326560589269435,1.7624043371233082
41,0.082,central,4.057690988519896,0.10115112592247114,-0.016561946027442688,40.11513417685511,0.1661275559981915
41,0.082,logK,4.035334293817659,0.6058424510319477,0.24304964174670163,6.660699142069305,0.006788249675543284
51,0.10200000000000001,forward,3.714137525974439,1.4652701428794244,0.6449615528260717,2.534780049961116,-3.525279205611197e-16
51,0.10200000000000001,backward,3.6966721429959493,-1.5185324526729624,-0.5084486021033409,-2.4343715121062877,2.140734694613438
51,0.10200000000000001,central,3.948688420556477,0.08986459773367636,-0.0034551765416275726,43.940422815432285,0.15722726249644958
51,0.10200000000000001,logK,4.056829267324474,0.7032744421263525,0.26659988917147004,5.76848670208836,3.916835096596818e-14
71,0.14200000000000002,forward,3.4869338285117975,1.9068795345488188,0.8124345478847894,1.8286072954979984,-4.1962514740670805e-15
71,0.14200000000000002,backward,3.4603588605156856,-1.951057414767406,-0.6952776199680573,-1.7735812561560163,2.8169874171877978
71,0.14200000000000002,central,3.505371725344724,0.07111240301319526,-0.031546411052666756,49.293394356175604,0.15576584219788447
71,0.14200000000000002,logK,4.121339235066237,0.9271669172366591,0.33925529448081737,4.445088752033487,4.179306873996618e-15
101,0.202,forward,3.0350237989425835,2.440562026571169,0.9939623304537475,1.2435757689824398,-4.155259281407846e-15
101,0.202,backward,3.004879230944664,-2.4976486442096784,-0.8909308596412783,-1.2030832430778056,3.583169555460339
101,0.202,central,3.1002181675100955,-0.031639547087270486,0.04216020842188819,-97.98554192191341,0.14691714029989106
101,0.202,logK,4.246445664733747,1.2938233439014941,0.4565959788381947,3.2820907775003416,-4.605670651974925e-15
