dict_name,n_obs,mode,c2,gamma,nu,D,err_t15,err_t20,err_t30
D1_Z20,20,exact,,,,,0.29634281049065087,0.29273232714261044,0.31458143607597955
D1_Z20,20,cg,,,,,0.27086943544966746,0.2612740769912856,0.2534887161000904
D2_ZJ39,39,exact,3.9875960384882156,-0.0645349892107636,0.04970702937027685,-61.78967544978122,0.18905098419955918,0.256761694840247,0.30832141022559806
D2_ZJ39,39,cg,3.949182614264754,0.502298257399487,0.28200904437560526,7.86222638858151,0.17062121635597238,0.22014048740953673,0.24451232826667138
D3_len2_77,77,exact,4.1220459198864035,0.07002398461815781,-0.3147674900740943,58.866200522064005,0.18964449476190315,0.2582383205497456,0.3069937688254189
D3_len2_77,77,cg,3.9931334960506524,0.6407564684663367,0.3152542941709574,6.231905088072379,0.17167161284751375,0.2205958198852828,0.24320639737723215
D4_full149,149,exact,4.192391299715599,0.14087763988550883,-0.008542934228632199,29.759096639628208,0.18692272865699905,0.2574223676921563,0.31426794062500896
D4_full149,149,cg,3.9779226424375693,0.707145332514783,0.3472411854447871,5.625325459324036,0.16802203458251463,0.219128090261939,0.2429260395142709
